prompt,response
"['1 (15 ounce) can pumpkin puree ', '4 eggs ', '1 cup vegetable oil ', '2/3 cup water ', '3 cups white sugar ', '3 1/2 cups all-purpose flour ', '2 teaspoons baking soda ', '1 1/2 teaspoons salt ', '1 teaspoon ground cinnamon ', '1 teaspoon ground nutmeg ', '1/2 teaspoon ground cloves ', '1/4 teaspoon ground ginger ', '']","Preheat oven to 350 degrees F (175 degrees ). Grease and flour three 7x3 inch loaf pans.
In a large bowl, mix together pumpkin puree, eggs, oil, water and sugar until well blended. In a separate bowl, whisk together the flour, baking soda, salt, cinnamon, nutmeg, cloves and ginger. Stir the dry ingredients into the pumpkin mixture until just blended. Pour into the prepared pans.
Bake for about 50 minutes in the preheated oven. Loaves are done when toothpick inserted in center comes out clean.
"
"['2 cups all-purpose flour ', '1/2 teaspoon baking soda ', '1/2 teaspoon salt ', '3/4 cup unsalted butter, melted ', '1 cup packed brown sugar ', '1/2 cup white sugar ', '1 tablespoon vanilla extract ', '1 egg ', '1 egg yolk ', '2 cups semisweet chocolate chips ', '']","Preheat the oven to 325 degrees F (165 degrees ). Grease cookie sheets or line with parchment paper.
Sift together the flour, baking soda and salt; set aside.
In a medium bowl, cream together the melted butter, brown sugar and white sugar until well blended. Beat in the vanilla, egg, and egg yolk until light and creamy. Mix in the sifted ingredients until just blended. Stir in the chocolate chips by hand using a wooden spoon. Drop cookie dough 1/4 cup at a time onto the prepared cookie sheets. Cookies should be about 3 inches apart.
Bake for 15 to 17 minutes in the preheated oven, or until the edges are lightly toasted. Cool on baking sheets for a few minutes before transferring to wire racks to cool completely.
"
"['1 pound cauliflower florets ', '1/4 cup mashed potato flakes ', '1/4 cup low-fat milk ', '2 tablespoons margarine ', 'salt and ground black pepper to taste ', '1/4 cup shredded reduced-fat Cheddar cheese ', '']","Preheat oven to 375 degrees F (190 degrees ).
Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add cauliflower, cover, and steam until tender, about 20 minutes. Transfer cauliflower to a large bowl. Add mashed potato flakes, milk, and margarine; mash with a potato masher or fork until cauliflower mixture is fluffy. Season with salt and black pepper. Pour mixture into a baking dish and sprinkle with Cheddar cheese.
Bake in preheated oven until cheese is melted, about 10 minutes.
"
"['1 1/2 pounds thickly sliced bacon, diced ', '6 pounds boneless lamb shoulder, cut into 2 inch pieces ', '1/2 teaspoon salt ', '1/2 teaspoon ground black pepper ', '1/2 cup all-purpose flour ', '3 cloves garlic, minced ', '1 large onion, chopped ', '1/2 cup water ', '4 cups beef stock ', '2 teaspoons white sugar ', '4 cups diced carrots ', '2 large onions, cut into bite-size pieces ', '3 potatoes ', '1 teaspoon dried thyme ', '2 bay leaves ', '1 cup white wine ', '']","Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, crumble, and set aside.
Put lamb, salt, pepper, and flour in large mixing bowl. Toss to coat meat evenly. Brown meat in frying pan with bacon fat.
Place meat into stock pot (leave 1/4 cup of fat in frying pan). Add the garlic and yellow onion and saute till onion begins to become golden. Deglaze frying pan with 1/2 cup water and add the garlic-onion mixture to the stock pot with bacon pieces, beef stock, and sugar. Cover and simmer for 1 1/2 hours.
Add carrots, onions, potatoes, thyme, bay leaves, and wine to pot. Reduce heat, and simmer covered for 20 minutes until vegetables are tender.
"
"['1 1/2 cups all-purpose flour ', '3/4 cup white sugar ', '1/2 teaspoon salt ', '2 teaspoons baking powder ', '1/3 cup vegetable oil ', '1 egg ', '1/3 cup milk ', '1 cup fresh blueberries ', '1/2 cup white sugar ', '1/3 cup all-purpose flour ', '1/4 cup butter, cubed ', '1 1/2 teaspoons ground cinnamon ', '']","Preheat oven to 400 degrees F (200 degrees ). Grease muffin cups or line with muffin liners.
Combine 1 1/2 cups flour, 3/4 cup sugar, salt and baking powder. Place vegetable oil into a 1 cup measuring cup; add the egg and enough milk to fill the cup. Mix this with flour mixture. Fold in blueberries. Fill muffin cups right to the top, and sprinkle with crumb topping mixture.
To Make Crumb Topping: Mix together 1/2 cup sugar, 1/3 cup flour, 1/4 cup butter, and 1 1/2 teaspoons cinnamon. Mix with fork, and sprinkle over muffins before baking.
Bake for 20 to 25 minutes in the preheated oven, or until done.
"
"['1/2 cup Parmesan cheese ', '1/4 cup butter, softened ', '3 tablespoons mayonnaise ', '2 tablespoons fresh lemon juice ', '1/4 teaspoon dried basil ', '1/4 teaspoon ground black pepper ', '1/8 teaspoon onion powder ', '1/8 teaspoon celery salt ', '2 pounds tilapia fillets ', '']","Preheat your oven's broiler. Grease a broiling pan or line pan with aluminum foil.
In a small bowl, mix together the Parmesan cheese, butter, mayonnaise and lemon juice. Season with dried basil, pepper, onion powder and celery salt. Mix well and set aside.
Arrange fillets in a single layer on the prepared pan. Broil a few inches from the heat for 2 to 3 minutes. Flip the fillets over and broil for a couple more minutes. Remove the fillets from the oven and cover them with the Parmesan cheese mixture on the top side. Broil for 2 more minutes or until the topping is browned and fish flakes easily with a fork. Be careful not to over cook the fish.
"
"['4 1/2 cups all-purpose flour ', '2 teaspoons baking soda ', '2 cups butter, softened ', '1 1/2 cups packed brown sugar ', '1/2 cup white sugar ', '2 (3.4 ounce) packages instant vanilla pudding mix ', '4 eggs ', '2 teaspoons vanilla extract ', '4 cups semisweet chocolate chips ', '2 cups chopped walnuts (optional) ', '']","Preheat oven to 350 degrees F (175 degrees ). Sift together the flour and baking soda, set aside.
In a large bowl, cream together the butter, brown sugar, and white sugar. Beat in the instant pudding mix until blended. Stir in the eggs and vanilla. Blend in the flour mixture. Finally, stir in the chocolate chips and nuts. Drop cookies by rounded spoonfuls onto ungreased cookie sheets.
Bake for 10 to 12 minutes in the preheated oven. Edges should be golden brown.
"
"['1 pound sweet Italian sausage ', '3/4 pound lean ground beef ', '1/2 cup minced onion ', '2 cloves garlic, crushed ', '1 (28 ounce) can crushed tomatoes ', '2 (6 ounce) cans tomato paste ', '2 (6.5 ounce) cans canned tomato sauce ', '1/2 cup water ', '2 tablespoons white sugar ', '1 1/2 teaspoons dried basil leaves ', '1/2 teaspoon fennel seeds ', '1 teaspoon Italian seasoning ', '1 tablespoon salt ', '1/4 teaspoon ground black pepper ', '4 tablespoons chopped fresh parsley ', '12 lasagna noodles ', '16 ounces ricotta cheese ', '1 egg ', '1/2 teaspoon salt ', '3/4 pound mozzarella cheese, sliced ', '3/4 cup grated Parmesan cheese ', '']","In a Dutch oven, cook sausage, ground beef, onion, and garlic over medium heat until well browned. Stir in crushed tomatoes, tomato paste, tomato sauce, and water. Season with sugar, basil, fennel seeds, Italian seasoning, 1 tablespoon salt, pepper, and 2 tablespoons parsley. Simmer, covered, for about 1 1/2 hours, stirring occasionally.
Bring a large pot of lightly salted water to a boil. Cook lasagna noodles in boiling water for 8 to 10 minutes. Drain noodles, and rinse with cold water. In a mixing bowl, combine ricotta cheese with egg, remaining parsley, and 1/2 teaspoon salt.
Preheat oven to 375 degrees F (190 degrees ).
To assemble, spread 1 1/2 cups of meat sauce in the bottom of a 9x13 inch baking dish. Arrange 6 noodles lengthwise over meat sauce. Spread with one half of the ricotta cheese mixture. Top with a third of mozzarella cheese slices. Spoon 1 1/2 cups meat sauce over mozzarella, and sprinkle with 1/4 cup Parmesan cheese. Repeat layers, and top with remaining mozzarella and Parmesan cheese. Cover with foil: to prevent sticking, either spray foil with cooking spray, or make sure the foil does not touch the cheese.
Bake in preheated oven for 25 minutes. Remove foil, and bake an additional 25 minutes. Cool for 15 minutes before serving.
"
"['1/2 cup butter ', '1 cup white sugar ', '2 eggs ', '1 teaspoon vanilla extract ', '1/3 cup unsweetened cocoa powder ', '1/2 cup all-purpose flour ', '1/4 teaspoon salt ', '1/4 teaspoon baking powder ', 'Frosting: ', '3 tablespoons butter, softened ', '3 tablespoons unsweetened cocoa powder ', '1 tablespoon honey ', '1 teaspoon vanilla extract ', ""1 cup confectioners' sugar "", '']","Preheat oven to 350 degrees F (175 degrees ). Grease and flour an 8-inch square pan.
In a large saucepan, melt 1/2 cup butter. Remove from heat, and stir in sugar, eggs, and 1 teaspoon vanilla. Beat in 1/3 cup cocoa, 1/2 cup flour, salt, and baking powder. Spread batter into prepared pan.
Bake in preheated oven for 25 to 30 minutes. Do not overcook.
To Make Frosting: Combine 3 tablespoons softened butter, 3 tablespoons cocoa, honey, 1 teaspoon vanilla extract, and 1 cup confectioners' sugar. Stir until smooth. Frost brownies while they are still warm.
"
"['1/2 cup white sugar ', '4 cups all-purpose flour ', '2 teaspoons baking powder ', '1 teaspoon baking soda ', '3/4 teaspoon salt ', '3 cups raisins ', '1 tablespoon caraway seeds ', '2 eggs, lightly beaten ', '1 1/4 cups buttermilk ', '1 cup sour cream ', '']","Preheat oven to 350 degrees F (175 degrees ). Grease a 9 inch round cast iron skillet or a 9 inch round baking or cake pan.
In a mixing bowl, combine flour (reserving 1 tablespoon), sugar, baking powder, baking soda, salt, raisins and caraway seeds. In a small bowl, blend eggs, buttermilk and sour cream. Stir the liquid mixture into flour mixture just until flour is moistened. Knead dough in bowl about 10 to 12 strokes. Dough will be sticky. Place the dough in the prepared skillet or pan and pat down. Cut a 4x3/4 inch deep slit in the top of the bread. Dust with reserved flour
Bake in a preheated 350 degrees F (175 degrees ) oven for 65 to 75 minutes. Let cool and turn bread onto a wire rack.
"
"['3 1/2 cups peeled and diced potatoes ', '1/3 cup diced celery ', '1/3 cup finely chopped onion ', '3/4 cup diced cooked ham ', '3 1/4 cups water ', '2 tablespoons chicken bouillon granules ', '1/2 teaspoon salt, or to taste ', '1 teaspoon ground white or black pepper, or to taste ', '5 tablespoons butter ', '5 tablespoons all-purpose flour ', '2 cups milk ', '']","Combine the potatoes, celery, onion, ham and water in a stockpot. Bring to a boil, then cook over medium heat until potatoes are tender, about 10 to 15 minutes. Stir in the chicken bouillon, salt and pepper.
In a separate saucepan, melt butter over medium-low heat. Whisk in flour with a fork, and cook, stirring constantly until thick, about 1 minute. Slowly stir in milk as not to allow lumps to form until all of the milk has been added. Continue stirring over medium-low heat until thick, 4 to 5 minutes.
Stir the milk mixture into the stockpot, and cook soup until heated through. Serve immediately.
"
"['1 pound skinless, boneless chicken breast halves - cubed ', '1 cup sliced carrots ', '1 cup frozen green peas ', '1/2 cup sliced celery ', '1/3 cup butter ', '1/3 cup chopped onion ', '1/3 cup all-purpose flour ', '1/2 teaspoon salt ', '1/4 teaspoon black pepper ', '1/4 teaspoon celery seed ', '1 3/4 cups chicken broth ', '2/3 cup milk ', '2 (9 inch) unbaked pie crusts ', '']","Preheat oven to 425 degrees F (220 degrees .)
In a saucepan, combine chicken, carrots, peas, and celery. Add water to cover and boil for 15 minutes. Remove from heat, drain and set aside.
In the saucepan over medium heat, cook onions in butter until soft and translucent. Stir in flour, salt, pepper, and celery seed. Slowly stir in chicken broth and milk. Simmer over medium-low heat until thick. Remove from heat and set aside.
Place the chicken mixture in bottom pie crust. Pour hot liquid mixture over. Cover with top crust, seal edges, and cut away excess dough. Make several small slits in the top to allow steam to escape.
Bake in the preheated oven for 30 to 35 minutes, or until pastry is golden brown and filling is bubbly. Cool for 10 minutes before serving.
"
"['3/4 cup milk ', '2 tablespoons white vinegar ', '1 cup all-purpose flour ', '2 tablespoons white sugar ', '1 teaspoon baking powder ', '1/2 teaspoon baking soda ', '1/2 teaspoon salt ', '1 egg ', '2 tablespoons butter, melted ', 'cooking spray ', '']","Combine milk with vinegar in a medium bowl and set aside for 5 minutes to ""sour"".
Combine flour, sugar, baking powder, baking soda, and salt in a large mixing bowl. Whisk egg and butter into ""soured"" milk. Pour the flour mixture into the wet ingredients and whisk until lumps are gone.
Heat a large skillet over medium heat, and coat with cooking spray. Pour 1/4 cupfuls of batter onto the skillet, and cook until bubbles appear on the surface. Flip with a spatula, and cook until browned on the other side.
"
"['1 1/2 cups all-purpose flour ', '3 1/2 teaspoons baking powder ', '1 teaspoon salt ', '1 tablespoon white sugar ', '1 1/4 cups milk ', '1 egg ', '3 tablespoons butter, melted ', '']","In a large bowl, sift together the flour, baking powder, salt and sugar. Make a well in the center and pour in the milk, egg and melted butter; mix until smooth.
Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Brown on both sides and serve hot.
"
"['1 1/2 cups all-purpose flour ', '1 teaspoon baking soda ', '1 teaspoon baking powder ', '1/2 teaspoon salt ', '3 bananas, mashed ', '3/4 cup white sugar ', '1 egg, lightly beaten ', '1/3 cup butter, melted ', '1/3 cup packed brown sugar ', '2 tablespoons all-purpose flour ', '1/8 teaspoon ground cinnamon ', '1 tablespoon butter ', '']","Preheat oven to 375 degrees F (190 degrees ). Lightly grease 10 muffin cups, or line with muffin papers.
In a large bowl, mix together 1 1/2 cups flour, baking soda, baking powder and salt. In another bowl, beat together bananas, sugar, egg and melted butter. Stir the banana mixture into the flour mixture just until moistened. Spoon batter into prepared muffin cups.
In a small bowl, mix together brown sugar, 2 tablespoons flour and cinnamon. Cut in 1 tablespoon butter until mixture resembles coarse cornmeal. Sprinkle topping over muffins.
Bake in preheated oven for 18 to 20 minutes, until a toothpick inserted into center of a muffin comes out clean.
"
"['2 (19.8 ounce) packages fudge brownie mix (such as Duncan Hines®) ', '1 cup Irish cream liqueur (such as Baileys®) ', '2/3 cup vegetable oil ', '2 eggs ', '1 cup unsalted butter, softened ', '5 tablespoons Irish cream liqueur (such as Baileys®) ', ""4 cups confectioners' sugar "", '']","Preheat oven to 350 degrees F (175 degrees ).
Butter the bottom of a 10 1/2x15 1/2-inch jelly roll pan.
Place fudge brownie mix into a large bowl; beat in 1 cup of Irish cream liqueur, vegetable oil, and eggs until the mixture forms a smooth batter.
Spread the batter into the prepared jelly roll pan.
Bake in the preheated oven until the brownies are set and a toothpick inserted into the center comes out clean, about 20 minutes. Remove pan from oven and allow to cool completely.
Beat unsalted butter in a large bowl until smooth; beat in 5 tablespoons Irish cream liqueur until mixture is creamy.
Slowly beat in confectioners' sugar, 1 cup at a time, until frosting is desired stiffness; spread frosting on brownies to serve.
"
"['1 recipe pastry for a 9 inch double crust pie ', '1/2 cup unsalted butter ', '3 tablespoons all-purpose flour ', '1/4 cup water ', '1/2 cup white sugar ', '1/2 cup packed brown sugar ', '8 Granny Smith apples - peeled, cored and sliced ', '']","Preheat oven to 425 degrees F (220 degrees ). Melt the butter in a saucepan. Stir in flour to form a paste. Add water, white sugar and brown sugar, and bring to a boil. Reduce temperature and let simmer.
Place the bottom crust in your pan. Fill with apples, mounded slightly. Cover with a lattice work crust. Gently pour the sugar and butter liquid over the crust. Pour slowly so that it does not run off.
Bake 15 minutes in the preheated oven. Reduce the temperature to 350 degrees F (175 degrees ). Continue baking for 35 to 45 minutes, until apples are soft.
"
"['2 pounds potatoes, peeled and cubed ', '1 head cabbage, chopped ', '1 bunch green onions, chopped ', '1/4 cup butter, softened ', '1/2 cup half-and-half cream ', 'salt and black pepper to taste ', '']","Place the potatoes, cabbage, and green onions into a large sauce pan, fill with water, and bring to a boil. Reduce heat, cover, and simmer until the potatoes are tender, about 20 minutes.
Drain the vegetables and place into a large bowl. Mash the potatoes and vegetables with the butter using a fork until the mixture is chunky, pouring in half-and-half gradually as you mash. Season with salt and pepper, and serve.
"
"['2 tablespoons maple syrup ', '1 tablespoon balsamic syrup ', '1/4 teaspoon garlic powder ', '2 pinches cayenne pepper ', '1 pinch ground white pepper ', '1 pinch ground nutmeg ', '1 pinch ground dried chipotle pepper ', '3 skinless, boneless chicken breast halves ', '1 tablespoon olive oil ', '']","Whisk maple syrup, balsamic vinegar, garlic powder, cayenne pepper, white pepper, nutmeg, and chipotle pepper together in a small bowl until rub is smooth. Coat chicken on all sides with rub.
Heat olive oil in a large skillet over medium-high heat. Cook chicken in hot oil until no longer pink in the center and juices run clear, 5 to 10 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees ).
"
"['6 frozen skinless, boneless chicken breast halves ', '1 (12 ounce) bottle barbeque sauce ', '1/2 cup Italian salad dressing ', '1/4 cup brown sugar ', '2 tablespoons Worcestershire sauce ', '']","Place chicken in a slow cooker. In a bowl, mix the barbecue sauce, Italian salad dressing, brown sugar, and Worcestershire sauce. Pour over the chicken.
Cover, and cook 3 to 4 hours on High or 6 to 8 hours on Low.
"
"['6 skinless, boneless chicken breast halves ', '6 slices Swiss cheese ', '6 slices ham ', '3 tablespoons all-purpose flour ', '1 teaspoon paprika ', '6 tablespoons butter ', '1/2 cup dry white wine ', '1 teaspoon chicken bouillon granules ', '1 tablespoon cornstarch ', '1 cup heavy whipping cream ', '']","Pound chicken breasts if they are too thick. Place a cheese and ham slice on each breast within 1/2 inch of the edges. Fold the edges of the chicken over the filling, and secure with toothpicks. Mix the flour and paprika in a small bowl, and coat the chicken pieces.
Heat the butter in a large skillet over medium-high heat, and cook the chicken until browned on all sides. Add the wine and bouillon. Reduce heat to low, cover, and simmer for 30 minutes, until chicken is no longer pink and juices run clear.
Remove the toothpicks, and transfer the breasts to a warm platter. Blend the cornstarch with the cream in a small bowl, and whisk slowly into the skillet. Cook, stirring until thickened, and pour over the chicken. Serve warm.
"
"['15 graham crackers, crushed ', '2 tablespoons butter, melted ', '4 (8 ounce) packages cream cheese ', '1 1/2 cups white sugar ', '3/4 cup milk ', '4 eggs ', '1 cup sour cream ', '1 tablespoon vanilla extract ', '1/4 cup all-purpose flour ', '']","Preheat oven to 350 degrees F (175 degrees ). Grease a 9 inch springform pan.
In a medium bowl, mix graham cracker crumbs with melted butter. Press onto bottom of springform pan.
In a large bowl, mix cream cheese with sugar until smooth. Blend in milk, and then mix in the eggs one at a time, mixing just enough to incorporate. Mix in sour cream, vanilla and flour until smooth. Pour filling into prepared crust.
Bake in preheated oven for 1 hour. Turn the oven off, and let cake cool in oven with the door closed for 5 to 6 hours; this prevents cracking. Chill in refrigerator until serving.
"
"['1 tablespoon cornstarch ', '1 tablespoon cold water ', '1/2 cup white sugar ', '1/2 cup soy sauce ', '1/4 cup cider vinegar ', '1 clove garlic, minced ', '1/2 teaspoon ground ginger ', '1/4 teaspoon ground black pepper ', '12 skinless chicken thighs ', '']","In a small saucepan over low heat, combine the cornstarch, cold water, sugar, soy sauce, vinegar, garlic, ginger and ground black pepper. Let simmer, stirring frequently, until sauce thickens and bubbles.
Preheat oven to 425 degrees F (220 degrees ).
Place chicken pieces in a lightly greased 9x13 inch baking dish. Brush chicken with the sauce. Turn pieces over, and brush again.
Bake in the preheated oven for 30 minutes. Turn pieces over, and bake for another 30 minutes, until no longer pink and juices run clear. Brush with sauce every 10 minutes during cooking.
"
"['3 avocados - peeled, pitted, and mashed ', '1 lime, juiced ', '1 teaspoon salt ', '1/2 cup diced onion ', '3 tablespoons chopped fresh cilantro ', '2 roma (plum) tomatoes, diced ', '1 teaspoon minced garlic ', '1 pinch ground cayenne pepper (optional) ', '']","In a medium bowl, mash together the avocados, lime juice, and salt. Mix in onion, cilantro, tomatoes, and garlic. Stir in cayenne pepper. Refrigerate 1 hour for best flavor, or serve immediately.
"
